Program1,Program2,Name1,Name2,weight,Timedelta
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,Switchboard: Switchboard V2 Program,Magic Eden: Magiceden V2 Program,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,Switchboard: Switchboard V2 Program,Switchboard: Switchboard Oracle,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,Switchboard: Switchboard V2 Program,Jupiter: Jupiter Swap V4,0.00028782500239854167,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,Switchboard: Switchboard V2 Program,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,Switchboard: Switchboard V2 Program,Openbook: Openbook Program,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,Switchboard: Switchboard V2 Program,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Switchboard: Switchboard V2 Program,Jupiter: Jupiter Aggregator V3,0.0017406440382941688,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,DCDX75fVNMB816DFERFiWgRiTxqkQukaCM7mSvsA9gQT,Switchboard: Switchboard V2 Program,DCDX75fVNMB816DFERFiWgRiTxqkQukaCM7mSvsA9gQT,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,Switchboard: Switchboard V2 Program,Zeta: Zeta Dex,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,Switchboard: Switchboard V2 Program,FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,Switchboard: Switchboard V2 Program,Metaplex: Metaplex Token Metadata,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,Switchboard: Switchboard V2 Program,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,0.0,7d
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW,Switchboard: Switchboard V2 Program,Star Atlas: Star Atlas Fleet Program,0.0,7d
