blockchain,creator,address,label_type,label_subtype,label,address_name,__row_index
solana,flipside,MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr,chadmin,general_contract,solana,memo program,75
solana,flipside,3HUeooitcfKX1TSCx2xEpg2W31n6Qfmizu7nnbaEWYzs,defi,general_contract,cega,cega program,76
solana,flipside,CrX7kMhLC3cSsXJdT7JDgqrRVWGnUpX3gfEfxxU2NVLi,defi,general_contract,lido,lido for solana,77
solana,flipside,Crt7UoUR6QgrFrN7j8rmSQpUTNWNSitSwWvsWGf1qZ5t,dex,swap_router,saber,Saber Router,78
solana,flipside,22Y43yTVxuUkoRKdm9thyRhQ3SdgQS7c7kB6UNCiaczD,dex,general_contract,serum,serum swap,79
solana,flipside,Ed25519SigVerify111111111111111111111111111,chadmin,general_contract,solana,new_ed25519_instruction,80
solana,flipside,7Zb1bGi32pfsrBkzWdqd4dFhUXwp5Nybr1zuaEwN34hy,defi,general_contract,larix,larix program,81
solana,flipside,8RfV7fpMZFC9cmkq45z3u7vPEhgECZHP5dqfiePrNpaA,defi,general_contract,amulet,amulets poolprogram,82
solana,flipside,TLPv2tuSVvn3fSk8RgW3yPddkp5oFivzZV3rA9hQxtX,defi,general_contract,tulip,tulip protocol v2 vaults,83
solana,flipside,TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN,defi,general_contract,tensorswap,tensorswap program,84
solana,flipside,cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTzeNMm2gRZ,nft,contract_deployer,metaplex,metaplex nft candy machine v2,85
solana,flipside,cndyAnrLdpjq1Ssp1z8xxDsB8dxe7u4HL5Nxi2K5WXZ,nft,contract_deployer,metaplex,metaplex nft candy machine v1,86
solana,flipside,KJ6b6PswEZeNSwEh1po51wxnbX1C3FPhQPhg8eD2Y6E,defi,general_contract,defiland,defiland staking program,87
solana,flipside,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,nft,marketplace,magic eden,magiceden v2 program,88
solana,flipside,PSYFiYqguvMXwpDooGdYV6mju92YEbFobbvW617VNcq,defi,general_contract,psyfinance,psyfinance v2 program,89
solana,flipside,SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy,chadmin,general_contract,solana,stake pool program,90
solana,flipside,SQUADSxWKud1RVxuhJzNcqYqu7F3GLNiktGzjnNtriT,dapp,token_contract,squads,squads,91
solana,flipside,SSwapUtytfBdBn1b9NUGG6foMVPtcWgpRU32HToDUZr,defi,general_contract,saros,saros amm,92
solana,flipside,SSwpMgqNDsyV7mAgN9ady4bDVu5ySjmmXejXvy2vLt1,defi,general_contract,step finance,step finance swap program,93
solana,flipside,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,dex,swap_router,saber,Saber Stable Swap,94
solana,flipside,SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,dapp,token_contract,switchboard,switchboard v2 program,95
solana,flipside,FC81tbGt6JWRXidaWYFXxGnTk4VgobhJHATvTRVMqgWj,defi,general_contract,francium,francium lending program,96
solana,flipside,82yxjeMsvaURa4MbZZ7WZZHfobirZYkH1zF8fmeGtyaQ,dex,pool,orca,ORCA Aquafarm,97
solana,flipside,CBuCnLe26faBpcBP2fktp4rp8abpcAnTWft6ZrP5Q4T,dex,pool,raydium,raydium stake v4,98
solana,flipside,6LtLpnUFNByNXLyCoK9wA2MykKAmQNZKBdY8s47dehDc,defi,general_contract,kamino finance,kamino finance,99
solana,flipside,6MLxLqiXaaSUpkgMnWDTuejNZEz3kE7k2woyHGVFw319,defi,general_contract,crema finance,crema finance,100
solana,flipside,4MNPdKu9wFMvEeZBMt3Eipfs5ovVWTJb31pEXDJAAxX5,dex,general_contract,serum,serum assert owner program,101
solana,flipside,4MangoMjqJ2firMokCjjGgoK8d4MXcrgL7XJaL3w6fVg,dex,general_contract,mango markets,mango markets v4,102
solana,flipside,ArAA6CZC123yMJLUe4uisBEgvfuw2WEvex9iFmFCYiXv,nft,contract_deployer,launchmynft,launchmynft: candy machine,103
solana,flipside,DmzAmomATKpNp2rCBfYLS7CSwQqeQTsgRYJA1oSSAJaP,dex,staking_contract,orca,orca francium farm,104
solana,flipside,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,dex,general_contract,dooar,dooar,105
solana,flipside,1.1111111111111112e+31,chadmin,general_contract,solana,systeminstruction,106
solana,flipside,JPGov2SBA6f7XSJF5R4Si5jEJekGiyrwP2m7gSEqLUs,dapp,governance,realms,jet dao,107
solana,flipside,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,dex,aggregator_contract,jupiter,jupiter aggregator v2,108
solana,flipside,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,dex,aggregator_contract,jupiter,jupiter aggregator v3,109
solana,flipside,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,dex,aggregator_contract,jupiter,jupiter swap v4,110
solana,flipside,nftpSLhPxHPX6ZE8uaArJJeBND5YN3JyQ4iFKDtTXiq,nft,general_contract,genopets ,genopets : general contract,111
solana,flipside,StaKe9nb7aUjXpjpZ45o6uJBsZxj2BWCDBtjk8LCg2v,nft,general_contract,genopets ,genopets : general contract,112
solana,flipside,72D3En8GQycjtunxf9mgyR8onzYdPqYFsKp4myUzhaRZ,nft,general_contract,famous fox federation,famous fox federation: general contract,113
solana,flipside,CrAFTUv7zKXBaS5471aCwHx7mq9Jp1eQQB5FQgdiSLyi,nft,general_contract,genopets ,genopets : general contract,114
